00:00:00.35 [ThreadPoolTaskScheduler-1] INFO  c.e.d.scheduler.ScraperScheduler - scraping scheduler is started
17:19:40.982 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
17:19:40.985 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
17:19:44.287 [http-nio-8080-exec-3] INFO  c.e.dividend.web.AuthController - user login -> grace
17:19:56.552 [http-nio-8080-exec-4] INFO  c.e.d.s.JwtAuthenticationFilter - [grace] -> /company
17:21:42.632 [http-nio-8080-exec-7] INFO  c.e.d.s.JwtAuthenticationFilter - [grace] -> /finance/dividend/3M%20Company
17:21:43.443 [http-nio-8080-exec-7] INFO  c.e.dividend.service.FinanceService - search company -> 3M Company
17:21:47.827 [http-nio-8080-exec-8] INFO  c.e.d.s.JwtAuthenticationFilter - [grace] -> /company/autocomplete
17:22:56.731 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
17:22:56.736 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
17:22:56.741 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
17:23:05.707 [main] INFO  c.e.dividend.DividendApplication - Starting DividendApplication using Java 11.0.17 on anjaehyuns-MacBook-Air.local with PID 82125 (/Users/jaehyun/Desktop/zero-base/dividend/build/classes/java/main started by jaehyun in /Users/jaehyun/Desktop/zero-base/dividend)
17:23:05.710 [main] INFO  c.e.dividend.DividendApplication - No active profile set, falling back to default profiles: default
17:23:06.950 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:23:06.951 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
17:23:07.73 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 115 ms. Found 3 JPA repository interfaces.
17:23:07.99 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:23:07.100 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
17:23:07.126 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.dividend.persist.repository.CompanyRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
